Object,RA,DEC,Class
AM 2012-282,20 15 13.86,-28 18 20.74,PRG
HRG 10503,20 19 46.62,-66 45 39.40,PRG
OA 00601,20 20 06.36,-70 58 20.63,PRG
A 2015-7111,20 20 20.34,-71 00 26.16,PRG
AM 2020-504,20 23 54.79,-50 39 05.49,PRG
HRG 02601,20 24 59.96,-81 34 31.65,PRG
AM 2021-724,20 26 29.03,-72 36 42.48,PRG
FM 186-16,20 27 53.94,-54 37 58.83,PRG
AM 2026-225,20 29 09.50,-22 34 30.82,PRG
AM 2026-424,20 29 32.25,-42 30 21.56,PRG
A 2027-2335,20 30 27.38,-23 25 20.65,PRG
HRG 01008,20 34 04.26,-84 40 31.89,PRG
ESO 143-G37,20 37 47.97,-61 44 50.14,PRG
AM 2034-483,20 38 08.78,-48 23 14.31,PRG
AM 2035-411,20 38 52.73,-41 06 51.98,PRG
ESO 341-G02,20 39 04.19,-41 10 52.87,PRG
ESO 341-IG04,20 41 13.62,-38 11 35.62,PRG
FM 47-9,20 42 08.24,-73 37 08.98,PRG
A 2040-6210,20 44 11.65,-61 59 17.90,PRG
ESO 047-IG11,20 44 21.08,-73 28 32.84,PRG
AM 2049-522,20 52 38.06,-52 13 45.11,PRG
HRG 02602,20 58 21.00,-79 22 58.44,PRG
AM 2055-425,20 58 26.60,-42 38 59.84,PRG
OA 03601,21 05 40.06,-25 13 54.92,PRG
A 2102-2345,21 05 40.14,-23 33 04.74,PRG
OA 03602,21 05 43.89,-25 14 14.39,PRG
OA 03603,21 06 07.27,-25 20 55.70,PRG
NGC 7016,21 07 20.47,-25 29 14.11,PRG
A 2104-2536,21 07 24.40,-25 24 44.63,PRG
HRG 53001,21 09 04.72,-26 54 27.42,PRG
AM 2106-624,21 10 07.04,-62 35 54.33,PRG
OA 00804,21 10 10.91,-62 35 43.43,PRG
FM 235-17,21 10 31.12,-47 30 31.47,PRG
AM 2106-641,21 11 20.07,-64 01 31.12,PRG
A 2111-5509,21 15 08.55,-54 56 46.73,PRG
ESO 464-G31,21 18 21.53,-27 20 46.84,PRG
AM 2115-574,21 18 56.99,-57 30 29.82,PRG
ESO 236-IG2,21 19 46.91,-52 14 16.40,PRG
A 2116-7233,21 20 56.19,-72 20 17.46,PRG
FM 531-6,21 34 29.08,-25 28 36.92,PRG
AM 2131-495,21 34 37.60,-49 42 43.83,PRG
A 2132-2742,21 34 59.88,-27 28 46.57,PRG
HRG 02603,21 36 07.26,-77 27 31.30,PRG
ESO 343-IG13,21 36 10.63,-38 32 37.36,PRG
FM 188-8,21 36 11.05,-53 41 23.82,PRG
AM 2134-471,21 37 28.06,-47 02 07.22,PRG
A 2135-2132,21 38 19.86,-21 19 03.07,PRG
ESO 287-IG50,21 41 57.79,-46 00 37.41,PRG
FM 188-15,21 49 08.39,-54 18 12.88,PRG
A 2150-1707,21 53 05.53,-16 53 35.37,PRG
AM 2152-592,21 56 19.62,-59 07 12.94,PRG
AM 2155-263,21 58 38.30,-26 22 38.43,PRG
HRG 00214,21 59 50.50,-84 58 25.32,PRG
AM 2159-330,22 02 44.29,-32 48 11.18,PRG
AM 2200-715,22 04 57.64,-71 42 13.19,PRG
ESO 75-G55,22 06 24.40,-67 31 00.79,PRG
HRG 23701,22 09 45.92,-49 47 53.19,PRG
HRG 23702,22 10 01.27,-49 40 31.77,PRG
HRG 14601,22 15 03.54,-58 17 16.14,PRG
ESO 533-IG15,22 20 44.53,-24 40 40.96,PRG
HRG 23801,22 20 51.70,-48 46 28.82,PRG
AM 2220-493,22 23 13.35,-49 17 44.09,PRG
AM 2229-735,22 23 43.21,-73 40 44.08,PRG
A 2220-6617,22 24 14.16,-66 02 12.79,PRG
HRG 02701,22 26 34.22,-81 13 21.73,PRG
AM 2223-635,22 26 35.34,-63 41 32.00,PRG
HRG 10901,22 26 54.03,-63 42 49.70,PRG
A 2226-2459,22 28 53.81,-24 43 43.12,PRG
A 2225-5838,22 29 19.42,-58 24 41.05,PRG
HRG 02703,22 31 03.46,-81 05 17.56,PRG
HRG 02704,22 32 50.65,-78 47 52.10,PRG
HRG 23802,22 33 47.09,-48 01 29.10,PRG
AM 2240-304,22 43 36.70,-30 28 49.54,PRG
AM 2243-341,22 46 38.57,-34 02 46.99,PRG
OA 01103,22 48 28.02,-58 15 00.95,PRG
ESO 109-IG23,22 48 33.37,-66 43 14.95,PRG
ESO 239-IG02,22 49 39.73,-48 50 55.08,PRG
A 2246-4909,22 49 49.82,-48 53 03.65,PRG
AM 2247-440,22 50 27.57,-43 48 39.65,PRG
ESO 603-G21,22 51 21.97,-20 14 46.09,PRG
HRG 01102,22 51 35.42,-84 07 12.96,PRG
HRG 00216,23 01 36.34,-84 03 33.51,PRG
